province_code,station_code,azimuth,district_name,province_name,cell_code,x_,y_
TNN,4a5518fc038204d0dda7719a9cb01d652176a41e3540ed0cd0beca16cfd3c340,50.0,Phường Phan Đình Phùng,Tỉnh Thái Nguyên,abcxy3251862.13jhjhdks0804577660.0,21.62145,105.84034
TNN,4a5518fc038204d0dda7719a9cb01d652176a41e3540ed0cd0beca16cfd3c340,170.0,Phường Phan Đình Phùng,Tỉnh Thái Nguyên,abcxy3251865.06jhjhdks0804577660.0,21.62145,105.84034
TNN,4a5518fc038204d0dda7719a9cb01d652176a41e3540ed0cd0beca16cfd3c340,170.0,Phường Phan Đình Phùng,Tỉnh Thái Nguyên,abcxy3251867.99jhjhdks0804577670.0,21.62145,105.84034
TNN,4a5518fc038204d0dda7719a9cb01d652176a41e3540ed0cd0beca16cfd3c340,170.0,Phường Phan Đình Phùng,Tỉnh Thái Nguyên,abcxy3251870.92jhjhdks0804577670.0,21.62145,105.84034
TNN,4a5518fc038204d0dda7719a9cb01d652176a41e3540ed0cd0beca16cfd3c340,170.0,Phường Phan Đình Phùng,Tỉnh Thái Nguyên,abcxy3251873.85jhjhdks0804577680.0,21.62145,105.84034
TNN,d5ea876c02005f42a0c23fada39b3be9448bdcde713ea116c1c0189d051fbbff,200.0,Xã Chợ Rã,Tỉnh Thái Nguyên,abcxy3254243.43jhjhdks0804581010.0,22.35082,105.67094
TNN,a91a7416cdfa4483a8bafae4001e42c2a972388c9846f5075205e85b2708a155,280.0,Xã Phủ Thông,Tỉnh Thái Nguyên,abcxy3254246.36jhjhdks0804581020.0,22.2317,105.82884
TNN,a91a7416cdfa4483a8bafae4001e42c2a972388c9846f5075205e85b2708a155,280.0,Xã Phủ Thông,Tỉnh Thái Nguyên,abcxy3254249.28jhjhdks0804581020.0,22.2317,105.82884
TNN,a91a7416cdfa4483a8bafae4001e42c2a972388c9846f5075205e85b2708a155,280.0,Xã Phủ Thông,Tỉnh Thái Nguyên,abcxy3254252.21jhjhdks0804581020.0,22.2317,105.82884
TNN,a91a7416cdfa4483a8bafae4001e42c2a972388c9846f5075205e85b2708a155,120.0,Xã Phủ Thông,Tỉnh Thái Nguyên,abcxy3254255.14jhjhdks0804581030.0,22.2317,105.82884
TNN,12a42ff2da4edd352945dc5a69bf64418da3c2d6ecbeac96f1576d6a0d7a12c5,80.0,Xã Chợ Đồn,Tỉnh Thái Nguyên,abcxy3254258.07jhjhdks0804581030.0,22.15437,105.60769
TNN,12a42ff2da4edd352945dc5a69bf64418da3c2d6ecbeac96f1576d6a0d7a12c5,280.0,Xã Chợ Đồn,Tỉnh Thái Nguyên,abcxy3254261.0jhjhdks0804581040.0,22.15437,105.60769
TNN,12a42ff2da4edd352945dc5a69bf64418da3c2d6ecbeac96f1576d6a0d7a12c5,80.0,Xã Chợ Đồn,Tỉnh Thái Nguyên,abcxy3254263.93jhjhdks0804581040.0,22.15437,105.60769
TNN,12a42ff2da4edd352945dc5a69bf64418da3c2d6ecbeac96f1576d6a0d7a12c5,80.0,Xã Chợ Đồn,Tỉnh Thái Nguyên,abcxy3254266.86jhjhdks0804581040.0,22.15437,105.60769
TNN,12a42ff2da4edd352945dc5a69bf64418da3c2d6ecbeac96f1576d6a0d7a12c5,80.0,Xã Chợ Đồn,Tỉnh Thái Nguyên,abcxy3254269.79jhjhdks0804581050.0,22.15437,105.60769
TNN,3bfbf2076f51d7cab5638586f5e4d429ef843ca793ffcfdaae7c2ae4f3e7a40a,80.0,Xã Cẩm Giàng,Tỉnh Thái Nguyên,abcxy3254272.72jhjhdks0804581050.0,22.20452,105.92872
TNN,3bfbf2076f51d7cab5638586f5e4d429ef843ca793ffcfdaae7c2ae4f3e7a40a,280.0,Xã Cẩm Giàng,Tỉnh Thái Nguyên,abcxy3254275.65jhjhdks0804581060.0,22.20452,105.92872
TNN,3bfbf2076f51d7cab5638586f5e4d429ef843ca793ffcfdaae7c2ae4f3e7a40a,340.0,Xã Cẩm Giàng,Tỉnh Thái Nguyên,abcxy3254278.57jhjhdks0804581060.0,22.20452,105.92872
TNN,3bfbf2076f51d7cab5638586f5e4d429ef843ca793ffcfdaae7c2ae4f3e7a40a,15.0,Xã Cẩm Giàng,Tỉnh Thái Nguyên,abcxy3254281.5jhjhdks0804581060.0,22.20452,105.92872
TNN,3bfbf2076f51d7cab5638586f5e4d429ef843ca793ffcfdaae7c2ae4f3e7a40a,80.0,Xã Cẩm Giàng,Tỉnh Thái Nguyên,abcxy3254284.43jhjhdks0804581070.0,22.20452,105.92872
TNN,3bfbf2076f51d7cab5638586f5e4d429ef843ca793ffcfdaae7c2ae4f3e7a40a,280.0,Xã Cẩm Giàng,Tỉnh Thái Nguyên,abcxy3254287.36jhjhdks0804581070.0,22.20452,105.92872
